# Program:featureCounts v1.6.1; Command:"featureCounts" "-T" "4" "-t" "gene" "-g" "ID" "-O" "-s" "1" "-a" "Arabidopsis_thaliana.TAIR10.40.gff3" "-o" "results/KO2_feature.out" "results/KO2_Aligned.sortedByCoord.out.bam" 
Geneid	Chr	Start	End	Strand	Length	results/KO2_Aligned.sortedByCoord.out.bam
gene:AT3G62250	3	23037018	23038009	+	992	2734
gene:AT3G62260	3	23038266	23040668	-	2403	221
gene:AT3G62270	3	23042212	23046153	-	3942	173
gene:AT3G62280	3	23049324	23051309	-	1986	32
gene:AT3G62290	3	23051544	23053893	+	2350	1923
gene:AT3G62300	3	23054004	23057283	+	3280	250
gene:AT3G62310	3	23057240	23060731	-	3492	382
gene:AT3G62320	3	23061805	23062398	-	594	1
gene:AT3G62330	3	23062639	23065796	-	3158	92
gene:AT3G62340	3	23069489	23071207	-	1719	0
gene:AT3G62350	3	23071080	23071766	-	687	0
gene:AT3G62360	3	23072746	23080706	-	7961	787
gene:AT3G62370	3	23080706	23083528	+	2823	100
gene:AT3G62380	3	23083523	23085035	-	1513	1
gene:AT3G62390	3	23086989	23089357	-	2369	34
gene:AT3G62400	3	23089596	23090821	+	1226	207
gene:AT3G62410	3	23090944	23091580	+	637	41
gene:AT3G62420	3	23091586	23092850	-	1265	247
gene:AT3G62430	3	23093451	23095657	-	2207	10
gene:AT3G62440	3	23096104	23097726	-	1623	0
gene:AT3G62450	3	23098019	23099070	+	1052	98
gene:AT3G62460	3	23104665	23105650	-	986	101
gene:AT3G62470	3	23106437	23108694	-	2258	41
gene:AT3G62499	3	23119844	23120149	+	306	5
gene:AT3G62500	3	23120423	23123188	+	2766	44
gene:AT3G62510	3	23122831	23123802	+	972	10
gene:AT3G62528	3	23131482	23131655	-	174	0
gene:AT3G62530	3	23132122	23133298	+	1177	496
gene:AT3G62540	3	23133330	23135384	-	2055	3
gene:AT3G62550	3	23135630	23137173	+	1544	2
gene:AT3G62560	3	23137286	23139145	+	1860	132
gene:AT3G62570	3	23142485	23144747	+	2263	14
gene:AT3G62580	3	23146809	23147951	+	1143	657
gene:AT3G62590	3	23147918	23150606	-	2689	62
gene:AT3G62600	3	23150779	23153649	-	2871	485
gene:AT3G62610	3	23154630	23156585	+	1956	0
gene:AT3G62615	3	23155360	23155854	-	495	0
gene:AT3G62620	3	23159656	23161949	+	2294	45
gene:AT3G62630	3	23163747	23165387	-	1641	17
gene:AT3G62640	3	23166219	23166979	-	761	0
gene:AT3G62650	3	23168061	23169187	+	1127	50
gene:AT3G62660	3	23172754	23174993	+	2240	56
gene:AT3G62670	3	23176556	23178294	-	1739	0
gene:AT3G62680	3	23182722	23184042	+	1321	72
gene:AT3G62690	3	23185348	23186720	-	1373	18
gene:AT3G62695	3	23185929	23186129	+	201	2
gene:AT3G62700	3	23190265	23195917	-	5653	575
gene:AT3G62710	3	23197574	23200723	-	3150	0
gene:AT3G62720	3	23201032	23202988	+	1957	313
gene:AT3G62730	3	23207854	23209533	-	1680	214
gene:AT3G62740	3	23211287	23214066	+	2780	29
gene:AT3G62750	3	23214247	23217084	+	2838	16
gene:AT3G62760	3	23217233	23218312	-	1080	0
gene:AT3G62770	3	23218610	23221243	-	2634	298
gene:AT3G62780	3	23221719	23222995	-	1277	1
gene:AT3G62790	3	23223030	23224326	-	1297	94
gene:AT3G62800	3	23225526	23227512	-	1987	129
gene:AT3G62810	3	23227622	23229027	+	1406	130
gene:AT3G62820	3	23229381	23230575	+	1195	19
gene:AT3G62830	3	23232272	23235567	+	3296	739
gene:AT3G62840	3	23235490	23236816	-	1327	317
gene:AT3G62850	3	23237487	23239155	-	1669	0
gene:AT3G62860	3	23239264	23242274	-	3011	271
gene:AT3G62870	3	23242561	23244397	-	1837	2701
gene:AT3G62880	3	23244614	23246066	-	1453	42
gene:AT3G62890	3	23246129	23248063	+	1935	12
gene:AT3G62900	3	23248129	23255297	-	7169	441
gene:AT3G62910	3	23257404	23260480	-	3077	113
gene:AT3G62920	3	23260597	23261297	+	701	12
gene:AT3G62930	3	23261442	23261927	-	486	20
gene:AT3G62940	3	23262795	23264731	-	1937	251
gene:AT3G62950	3	23266227	23267090	+	864	0
gene:AT3G62960	3	23268641	23269324	+	684	16
gene:AT3G62970	3	23270403	23272992	+	2590	96
gene:AT3G62980	3	23273065	23276630	-	3566	461
gene:AT3G62990	3	23282583	23283368	+	786	7
gene:AT3G63000	3	23283592	23285540	+	1949	419
gene:AT3G63010	3	23289243	23291486	+	2244	807
gene:AT3G63020	3	23294382	23295143	+	762	0
gene:AT3G63030	3	23295285	23296626	+	1342	125
gene:AT3G63040	3	23296572	23297225	-	654	2
gene:AT3G63050	3	23297744	23298534	-	791	11
gene:AT3G63052	3	23298729	23299126	-	398	0
gene:AT3G63060	3	23300290	23301865	-	1576	7
gene:AT3G63070	3	23302365	23309658	+	7294	577
gene:AT3G63080	3	23309737	23311397	+	1661	150
gene:AT3G63088	3	23313004	23313388	+	385	0
gene:AT3G63090	3	23313428	23315062	+	1635	45
gene:AT3G63093	3	23315085	23316615	-	1531	0
gene:AT3G63095	3	23315506	23316258	+	753	0
gene:AT3G63110	3	23317971	23319636	-	1666	204
gene:AT3G63120	3	23322359	23324283	-	1925	155
gene:AT3G63130	3	23324479	23326973	+	2495	292
gene:AT3G63140	3	23326867	23328789	-	1923	316
gene:AT3G63150	3	23328916	23333078	-	4163	194
gene:AT3G63160	3	23333399	23334034	-	636	48
gene:AT3G63170	3	23334574	23336081	+	1508	176
gene:AT3G63180	3	23336092	23340340	-	4249	403
gene:AT3G63190	3	23342550	23344801	-	2252	146
gene:AT3G63200	3	23345754	23347672	+	1919	118
gene:AT3G63210	3	23353514	23355480	-	1967	252
gene:AT3G63215	3	23353991	23354340	+	350	84
gene:AT3G63220	3	23357328	23359291	-	1964	85
gene:AT3G63230	3	23359633	23360338	+	706	0
gene:AT3G63240	3	23363872	23367592	-	3721	19
gene:AT3G63250	3	23369781	23372823	-	3043	225
gene:AT3G63255	3	23372870	23373545	+	676	116
gene:AT3G63260	3	23372878	23375405	-	2528	337
gene:AT3G63270	3	23375584	23377661	-	2078	91
gene:AT3G63280	3	23377976	23381590	+	3615	79
gene:AT3G63290	3	23381604	23383538	+	1935	27
gene:AT3G63300	3	23384988	23387842	+	2855	77
gene:AT3G63310	3	23387718	23389038	-	1321	293
gene:AT3G63320	3	23389348	23391593	-	2246	1
gene:AT3G63340	3	23391628	23398454	-	6827	256
gene:AT3G63350	3	23399236	23400812	+	1577	0
gene:AT3G63360	3	23401166	23401679	-	514	0
gene:AT3G63370	3	23401963	23405991	+	4029	43
gene:AT3G63380	3	23406484	23410360	-	3877	22
gene:AT3G63390	3	23411053	23411988	-	936	46
gene:AT3G63400	3	23412024	23415659	+	3636	379
gene:AT3G63410	3	23415589	23417119	-	1531	863
gene:AT3G63420	3	23417249	23419024	+	1776	67
gene:AT3G63430	3	23420145	23422475	+	2331	7
gene:AT3G63440	3	23424157	23426536	+	2380	43
gene:AT3G63450	3	23426556	23429356	-	2801	36
gene:AT3G63460	3	23430623	23437374	-	6752	1608
gene:AT3G63470	3	23438396	23441060	+	2665	22
gene:AT3G63480	3	23440887	23444088	-	3202	77
gene:AT3G63490	3	23444203	23446355	+	2153	762
gene:AT3G63500	3	23446230	23450284	-	4055	798
gene:AT3G63510	3	23450536	23452794	+	2259	135
gene:AT3G63520	3	23452808	23456078	+	3271	2290
gene:AT3G63530	3	23456055	23458732	-	2678	115
gene:AT3G63540	3	23458642	23459804	-	1163	126
gene:AT4G00005	4	1180	1536	-	357	0
gene:AT4G00020	4	2895	10504	-	7610	90
gene:AT4G00026	4	10815	13359	-	2545	204
gene:AT4G00030	4	13527	14413	+	887	144
gene:AT4G00040	4	14627	16079	+	1453	216
gene:AT4G00050	4	17639	20183	+	2545	55
gene:AT4G00060	4	21351	29064	+	7714	323
gene:AT4G00070	4	29072	31426	-	2355	6
gene:AT4G00080	4	32748	33756	+	1009	57
gene:AT4G00090	4	34091	36917	+	2827	229
gene:AT4G00100	4	36916	38384	+	1469	1407
gene:AT4G00110	4	38480	40298	-	1819	69
gene:AT4G00120	4	41665	43197	-	1533	0
gene:AT4G00130	4	48114	49068	+	955	0
gene:AT4G00140	4	51166	53449	-	2284	0
gene:AT4G00150	4	57140	59495	-	2356	257
gene:AT4G00155	4	62235	62567	+	333	0
gene:AT4G00160	4	63410	65479	+	2070	0
gene:AT4G00163	4	69145	69877	+	733	5
gene:AT4G00165	4	69230	69957	-	728	5
gene:AT4G00170	4	69983	72217	-	2235	134
gene:AT4G00180	4	72545	75576	-	3032	43
gene:AT4G00190	4	80433	82040	-	1608	0
gene:AT4G00200	4	82309	84770	-	2462	72
gene:AT4G00210	4	85471	87071	-	1601	20
gene:AT4G00220	4	89908	92255	+	2348	47
gene:AT4G00230	4	93743	97467	+	3725	140
gene:AT4G00231	4	97476	99593	+	2118	84
gene:AT4G00232	4	100257	100844	-	588	0
gene:AT4G00234	4	100919	101788	+	870	0
gene:AT4G00238	4	103823	105221	-	1399	103
gene:AT4G00240	4	106250	111005	-	4756	42
gene:AT4G00250	4	112705	113982	-	1278	1
gene:AT4G00260	4	114971	117051	+	2081	0
gene:AT4G00270	4	117085	118643	-	1559	181
gene:AT4G00280	4	122409	122851	-	443	0
gene:AT4G00290	4	122851	125591	-	2741	78
gene:AT4G00295	4	126509	128060	+	1552	0
gene:AT4G00300	4	128581	130331	+	1751	248
gene:AT4G00305	4	131422	132018	+	597	19
gene:AT4G00310	4	133643	135502	+	1860	34
gene:AT4G00315	4	137404	138888	+	1485	0
gene:AT4G00320	4	139939	141643	+	1705	0
gene:AT4G00330	4	142570	145719	-	3150	465
gene:AT4G00335	4	145887	148424	+	2538	117
gene:AT4G00340	4	148612	151739	+	3128	632
gene:AT4G00342	4	151733	151912	-	180	0
gene:AT4G00350	4	151849	154178	+	2330	2
gene:AT4G00355	4	154635	156376	+	1742	239
gene:AT4G00360	4	160643	163023	+	2381	524
gene:AT4G00370	4	162897	166357	-	3461	303
gene:AT4G00380	4	167497	171010	+	3514	93
gene:AT4G00390	4	171487	172845	-	1359	12
gene:AT4G00400	4	173953	176870	-	2918	25
gene:AT4G00416	4	179022	179513	+	492	0
gene:AT4G00420	4	181267	184469	-	3203	76
gene:AT4G00430	4	185285	187680	-	2396	1121
gene:AT4G00440	4	193528	198582	+	5055	483
gene:AT4G00450	4	200874	211309	+	10436	728
gene:AT4G00460	4	211000	213697	-	2698	39
gene:AT4G00467	4	214768	216076	-	1309	0
gene:AT4G00480	4	216812	219926	-	3115	2
gene:AT4G00490	4	222289	225131	+	2843	209
gene:AT4G00500	4	225028	227396	-	2369	78
gene:AT4G00520	4	227650	231751	+	4102	239
gene:AT4G00525	4	231780	232939	+	1160	25
gene:AT4G00530	4	232928	233652	-	725	21
gene:AT4G00540	4	234597	237582	-	2986	0
gene:AT4G00550	4	237901	240579	-	2679	91
gene:AT4G00560	4	240634	242497	-	1864	75
gene:AT4G00570	4	242461	246804	-	4344	671
gene:AT4G00580	4	247927	250406	+	2480	0
gene:AT4G00585	4	250840	252598	-	1759	278
gene:AT4G00590	4	252766	255054	+	2289	95
gene:AT4G00600	4	255320	256610	-	1291	0
gene:AT4G00610	4	256957	257943	-	987	0
gene:AT4G00620	4	258987	261289	-	2303	138
gene:AT4G00630	4	261246	268097	-	6852	485
gene:AT4G00650	4	268901	271503	+	2603	37
gene:AT4G00651	4	271487	271879	-	393	0
gene:AT4G00660	4	274252	278737	+	4486	363
gene:AT4G00670	4	278316	279197	-	882	40
gene:AT4G00680	4	279596	281072	-	1477	10
gene:AT4G00690	4	281132	283612	+	2481	44
gene:AT4G00695	4	283592	285975	+	2384	16
gene:AT4G00700	4	285876	289575	+	3700	13
gene:AT4G00710	4	289779	293492	+	3714	262
gene:AT4G00720	4	293588	297479	-	3892	433
gene:AT4G00730	4	299261	304612	-	5352	43
gene:AT4G00740	4	306869	310517	-	3649	293
gene:AT4G00750	4	314239	317675	+	3437	51
gene:AT4G00752	4	317564	320935	-	3372	128
gene:AT4G00755	4	324925	327008	+	2084	81
gene:AT4G00760	4	327025	333477	-	6453	148
gene:AT4G00770	4	331157	333477	+	2321	61
gene:AT4G00780	4	334573	336478	+	1906	59
gene:AT4G00800	4	336804	345785	-	8982	493
gene:AT4G00810	4	345911	347293	-	1383	640
gene:AT4G00820	4	349025	351550	+	2526	55
gene:AT4G00830	4	351969	355248	+	3280	411
gene:AT4G00840	4	355211	357296	-	2086	104
gene:AT4G00850	4	357345	359337	+	1993	61
gene:AT4G00860	4	359223	360505	-	1283	493
gene:AT4G00870	4	361933	363709	-	1777	0
gene:AT4G00872	4	364027	364757	-	731	0
gene:AT4G00880	4	366373	367274	-	902	30
gene:AT4G00883	4	366716	367231	+	516	30
gene:AT4G00890	4	373960	375350	-	1391	11
gene:AT4G00889	4	374116	375204	+	1089	11
gene:AT4G00893	4	379793	381455	-	1663	0
gene:AT4G00895	4	381788	382643	+	856	200
gene:AT4G00900	4	382663	386850	-	4188	234
gene:AT4G00910	4	387388	391441	-	4054	12
gene:AT4G00905	4	387451	389403	+	1953	10
gene:AT4G00920	4	393767	395382	+	1616	1
gene:AT4G00925	4	395931	396357	+	427	0
gene:AT4G00930	4	396444	400994	+	4551	170
gene:AT4G00940	4	402959	404873	-	1915	213
gene:AT4G00950	4	405623	407142	-	1520	84
gene:AT4G00953	4	410090	410816	+	727	0
gene:AT4G00955	4	412107	413810	+	1704	15
gene:AT4G00960	4	414204	416355	+	2152	13
gene:AT4G00970	4	418327	421885	+	3559	23
gene:AT4G00980	4	422478	424588	-	2111	46
gene:AT4G00990	4	426847	431862	+	5016	354
gene:AT4G01000	4	431516	434029	-	2514	535
gene:AT4G01010	4	434217	437605	-	3389	47
gene:AT4G01020	4	438991	445218	+	6228	266
gene:AT4G01023	4	445422	446948	+	1527	1
gene:AT4G01026	4	446978	448511	+	1534	214
gene:AT4G01030	4	447941	450642	-	2702	169
gene:AT4G01037	4	451194	453243	-	2050	64
gene:AT4G01040	4	453347	455611	+	2265	85
gene:AT4G01050	4	455583	458510	+	2928	617
gene:AT4G01060	4	460395	461246	+	852	0
gene:AT4G01070	4	461513	463556	-	2044	727
gene:AT4G01080	4	466298	468294	-	1997	8
gene:AT4G01090	4	470506	473879	-	3374	342
gene:AT4G01100	4	477141	480028	+	2888	697
gene:AT4G01110	4	479963	481160	-	1198	1
gene:AT4G01120	4	481569	484524	-	2956	164
gene:AT4G01130	4	485743	488226	+	2484	2
gene:AT4G01140	4	490749	492418	-	1670	25
gene:AT4G01150	4	493546	494885	+	1340	345
gene:AT4G01160	4	494958	497006	-	2049	0
gene:AT4G01170	4	499497	500831	+	1335	1
gene:AT4G01180	4	501287	503394	-	2108	0
gene:AT4G01190	4	504135	506403	-	2269	1
gene:AT4G01200	4	506511	507626	-	1116	4
gene:AT4G01210	4	507648	512852	-	5205	280
gene:AT4G01220	4	513053	515853	-	2801	53
gene:AT4G01230	4	516021	517516	-	1496	2
gene:AT4G01240	4	517795	521972	-	4178	0
gene:AT4G01250	4	522530	524249	-	1720	252
gene:AT4G01245	4	527591	528144	+	554	0
gene:AT4G01260	4	528570	529547	-	978	0
gene:AT4G01270	4	532247	534984	+	2738	23
gene:AT4G01280	4	535198	538098	+	2901	104
gene:AT4G01290	4	537418	543939	-	6522	1528
gene:AT4G01310	4	543911	545566	-	1656	338
gene:AT4G01320	4	545796	549413	+	3618	312
gene:AT4G01330	4	550175	553097	+	2923	188
gene:AT4G01335	4	553332	554187	+	856	0
gene:AT4G01340	4	554539	556961	+	2423	0
gene:AT4G01350	4	560146	562438	+	2293	9
gene:AT4G01360	4	564760	566408	+	1649	243
gene:AT4G01370	4	566917	570299	+	3383	235
gene:AT4G01380	4	569148	570076	-	929	0
gene:AT4G01390	4	570200	571595	-	1396	24
gene:AT4G01395	4	572987	575773	-	2787	328
gene:AT4G01400	4	575756	577303	-	1548	21
gene:AT4G01410	4	578028	579287	+	1260	159
gene:AT4G01420	4	580038	581521	-	1484	1
gene:AT4G01430	4	585598	588126	+	2529	119
gene:AT4G01435	4	591825	592592	-	768	0
gene:AT4G01440	4	596397	598752	+	2356	47
gene:AT4G01450	4	608273	610765	+	2493	144
gene:AT4G01460	4	620691	623000	+	2310	4
gene:AT4G01470	4	624786	625885	-	1100	0
gene:AT4G01480	4	626069	628070	+	2002	208
gene:AT4G01500	4	639247	640976	+	1730	0
gene:AT4G01510	4	642714	644400	+	1687	19
gene:AT4G01516	4	649862	649957	+	96	0
gene:AT4G01520	4	656407	659178	-	2772	0
gene:AT4G01535	4	669339	669830	+	492	4
gene:AT4G01540	4	670483	672789	-	2307	243
gene:AT4G01550	4	673862	676445	-	2584	78
gene:AT4G01560	4	676982	679276	-	2295	221
gene:AT4G01570	4	679472	681940	+	2469	84
gene:AT4G01575	4	681862	682601	-	740	21
gene:AT4G01580	4	685670	686886	+	1217	18
gene:AT4G01590	4	688813	690460	-	1648	120
gene:AT4G01595	4	690726	691993	-	1268	106
gene:AT4G01600	4	692853	694381	+	1529	8
gene:AT4G01610	4	694582	697206	+	2625	1321
gene:AT4G01630	4	700566	701769	+	1204	84
gene:AT4G01640	4	702563	703600	+	1038	0
gene:AT4G01650	4	704377	707045	-	2669	29
gene:AT4G01660	4	708357	711256	+	2900	222
gene:AT4G01670	4	711192	712643	-	1452	10
gene:AT4G01671	4	713216	713389	-	174	0
gene:AT4G01680	4	715970	717603	-	1634	6
gene:AT4G01690	4	729863	732433	+	2571	402
gene:AT4G01700	4	732313	733510	-	1198	405
gene:AT4G01703	4	734252	734365	-	114	0
gene:AT4G01710	4	735653	736965	+	1313	41
gene:AT4G01720	4	744804	748554	+	3751	301
gene:AT4G01730	4	749307	752034	+	2728	72
gene:AT4G01735	4	752288	752873	-	586	0
gene:AT4G01740	4	753422	755456	+	2035	36
gene:AT4G01750	4	756348	758725	+	2378	88
gene:AT4G01760	4	759055	761224	-	2170	0
gene:AT4G01770	4	764473	766876	+	2404	0
gene:AT4G01780	4	767310	769246	+	1937	0
gene:AT4G01790	4	769799	770835	+	1037	40
gene:AT4G01800	4	770722	776439	-	5718	583
gene:AT4G01810	4	776414	780355	-	3942	356
gene:AT4G01820	4	780646	785340	-	4695	0
gene:AT4G01830	4	785551	790447	-	4897	1
gene:AT4G01840	4	793177	795237	+	2061	19
gene:AT4G01850	4	795986	798381	-	2396	2713
gene:AT4G01860	4	801032	808087	-	7056	245
gene:AT4G01870	4	808376	810611	-	2236	1113
gene:AT4G01880	4	810657	812930	-	2274	60
gene:AT4G01883	4	813048	815170	+	2123	29
gene:AT4G01890	4	816200	818468	+	2269	0
gene:AT4G01895	4	819957	820379	+	423	50
gene:AT4G01897	4	820336	821618	-	1283	65
gene:AT4G01900	4	821546	823569	+	2024	209
gene:AT4G01910	4	824555	826857	-	2303	102
gene:AT4G01915	4	827216	828824	+	1609	17
gene:AT4G01920	4	828826	831288	-	2463	76
gene:AT4G01925	4	833063	834340	-	1278	5
gene:AT4G01930	4	838677	840825	-	2149	16
gene:AT4G01935	4	841057	842364	+	1308	122
gene:AT4G01940	4	841989	843531	-	1543	160
gene:AT4G01950	4	844342	846814	-	2473	5
gene:AT4G01960	4	850914	853329	-	2416	145
gene:AT4G01970	4	853922	857401	-	3480	0
gene:AT4G01985	4	866151	868253	-	2103	35
gene:AT4G01990	4	871126	872920	-	1795	35
gene:AT4G01995	4	872923	874772	+	1850	37
gene:AT4G02000	4	874880	876181	+	1302	6
gene:AT4G02010	4	881061	885463	+	4403	235
gene:AT4G02020	4	886580	891987	+	5408	935
gene:AT4G02030	4	892082	897359	+	5278	248
gene:AT4G02040	4	897547	898370	+	824	27
gene:AT4G02050	4	898307	901072	-	2766	100
gene:AT4G02060	4	900636	905591	+	4956	252
gene:AT4G02070	4	905865	913290	+	7426	125
gene:AT4G02075	4	913334	916509	-	3176	23
gene:AT4G02080	4	921447	922759	+	1313	354
gene:AT4G02090	4	923122	923893	+	772	3
gene:AT4G02100	4	929869	932397	+	2529	140
gene:AT4G02110	4	935006	940328	+	5323	139
gene:AT4G02120	4	940721	944327	+	3607	357
gene:AT4G02130	4	944324	947249	-	2926	15
gene:AT4G02140	4	948598	951063	-	2466	53
gene:AT4G02150	4	950546	953690	-	3145	471
gene:AT4G02160	4	954968	955734	-	767	12
gene:AT4G02170	4	958045	958834	+	790	46
gene:AT4G02180	4	959964	963678	+	3715	26
gene:AT4G02190	4	967372	969351	+	1980	0
gene:AT4G02195	4	969994	972342	-	2349	55
gene:AT4G02200	4	972707	974692	+	1986	216
gene:AT4G02210	4	973924	976154	-	2231	170
gene:AT4G02220	4	976246	979163	+	2918	90
gene:AT4G02230	4	979158	980698	-	1541	848
gene:AT4G02235	4	980955	981711	+	757	0
gene:AT4G02250	4	983970	984523	+	554	0
gene:AT4G02260	4	985123	991506	+	6384	235
gene:AT4G02270	4	992111	993039	-	929	12
gene:AT4G02280	4	994726	998991	+	4266	363
gene:AT4G02290	4	1002338	1005305	-	2968	223
gene:AT4G02300	4	1009301	1013036	-	3736	0
gene:AT4G02310	4	1014680	1015729	-	1050	0
gene:AT4G02320	4	1022725	1026179	-	3455	4
gene:AT4G02330	4	1032350	1035055	+	2706	431
gene:AT4G02340	4	1035596	1037615	+	2020	130
gene:AT4G02350	4	1038114	1041064	+	2951	333
gene:AT4G02360	4	1041086	1041802	+	717	20
gene:AT4G02370	4	1042235	1043283	+	1049	133
gene:AT4G02380	4	1046042	1047105	-	1064	1700
gene:AT4G02390	4	1049766	1054186	+	4421	146
gene:AT4G02400	4	1054199	1057998	+	3800	354
gene:AT4G02405	4	1057854	1059671	-	1818	63
gene:AT4G02410	4	1059799	1062159	-	2361	127
gene:AT4G02420	4	1064114	1066571	-	2458	0
gene:AT4G02425	4	1067052	1068821	-	1770	42
gene:AT4G02430	4	1068974	1072263	+	3290	120
gene:AT4G02440	4	1072376	1073779	+	1404	136
gene:AT4G02450	4	1073753	1075930	-	2178	840
gene:AT4G02460	4	1076090	1080727	-	4638	77
gene:AT4G02465	4	1080962	1081680	+	719	1
gene:AT4G02480	4	1081671	1088846	-	7176	1404
gene:AT4G02482	4	1092012	1092610	+	599	13
gene:AT4G02485	4	1092522	1094600	+	2079	24
gene:AT4G02489	4	1097532	1097645	-	114	0
gene:AT4G02500	4	1101378	1103612	+	2235	281
gene:AT4G02510	4	1104429	1111784	+	7356	4480
gene:AT4G02520	4	1110343	1112033	-	1691	2543
gene:AT4G02530	4	1112082	1114158	-	2077	160
gene:AT4G02540	4	1116972	1119877	+	2906	389
gene:AT4G02541	4	1119849	1119989	-	141	0
gene:AT4G02550	4	1120365	1122223	-	1859	74
gene:AT4G02560	4	1123475	1128490	-	5016	241
gene:AT4G02570	4	1128515	1133774	+	5260	1607
gene:AT4G02580	4	1134429	1137204	+	2776	713
gene:AT4G02590	4	1137487	1140540	-	3054	1016
gene:AT4G02600	4	1143888	1147562	+	3675	225
gene:AT4G02610	4	1147608	1149336	+	1729	122
gene:AT4G02620	4	1149248	1151355	-	2108	433
gene:AT4G02630	4	1151611	1153409	+	1799	83
gene:AT4G02640	4	1153945	1156356	+	2412	267
gene:AT4G02650	4	1156379	1158788	+	2410	1
gene:AT4G02655	4	1158783	1159422	+	640	0
gene:AT4G02660	4	1159494	1174321	-	14828	199
gene:AT4G02670	4	1176000	1178624	-	2625	100
gene:AT4G02680	4	1180923	1185012	-	4090	626
gene:AT4G02690	4	1185751	1187816	+	2066	6
gene:AT4G02700	4	1188983	1193611	+	4629	46
gene:AT4G02710	4	1193516	1197630	-	4115	525
gene:AT4G02715	4	1200670	1203380	-	2711	205
gene:AT4G02725	4	1204013	1207436	+	3424	338
gene:AT4G02720	4	1204089	1205892	-	1804	302
gene:AT4G02730	4	1207683	1209287	+	1605	31
gene:AT4G02733	4	1210140	1211532	-	1393	0
gene:AT4G02735	4	1215092	1217509	-	2418	0
gene:AT4G02740	4	1217589	1221019	-	3431	226
gene:AT4G02750	4	1221017	1223617	-	2601	34
gene:AT4G02760	4	1223959	1229014	-	5056	359
gene:AT4G02770	4	1229031	1230164	-	1134	1092
gene:AT4G02780	4	1237671	1244822	-	7152	3
gene:AT4G02790	4	1247327	1249640	+	2314	116
gene:AT4G02800	4	1249971	1251867	+	1897	174
gene:AT4G02810	4	1256144	1257320	+	1177	1
gene:AT4G02820	4	1258532	1260696	+	2165	71
gene:AT4G02830	4	1262245	1264101	+	1857	19
gene:AT4G02840	4	1264518	1266486	+	1969	143
gene:AT4G02850	4	1266463	1268612	-	2150	6
gene:AT4G02860	4	1268618	1270539	-	1922	303
gene:AT4G02870	4	1271654	1272746	-	1093	0
gene:AT4G02880	4	1274465	1278718	+	4254	275
gene:AT4G02890	4	1278530	1280166	-	1637	1007
gene:AT4G02900	4	1283655	1287832	+	4178	31
gene:AT4G02910	4	1288486	1289615	-	1130	0
gene:AT4G02920	4	1292483	1295263	+	2781	230
gene:AT4G02930	4	1295375	1298500	-	3126	740
gene:AT4G02940	4	1306313	1311038	+	4726	487
gene:AT4G02950	4	1311198	1312154	+	957	0
gene:AT4G02970	4	1317499	1319179	+	1681	300
gene:AT4G02980	4	1319603	1321608	-	2006	94
gene:AT4G02990	4	1321758	1324062	+	2305	101
gene:AT4G03000	4	1324063	1327520	+	3458	176
gene:AT4G03010	4	1329548	1331387	+	1840	15
gene:AT4G03020	4	1331399	1335463	-	4065	423
gene:AT4G03030	4	1335680	1337565	-	1886	152
gene:AT4G03040	4	1341083	1343140	+	2058	0
gene:AT4G03050	4	1343845	1346436	+	2592	0
gene:AT4G03070	4	1358267	1359698	+	1432	9
gene:AT4G03080	4	1359655	1365498	-	5844	450
gene:AT4G03090	4	1366053	1371557	-	5505	166
gene:AT4G03100	4	1374160	1376287	+	2128	116
gene:AT4G03110	4	1376306	1379747	-	3442	201
gene:AT4G03115	4	1382438	1385525	-	3088	29
gene:AT4G03113	4	1382553	1382741	-	189	0
gene:AT4G03120	4	1385613	1387803	+	2191	185
gene:AT4G03130	4	1387781	1390781	-	3001	13
gene:AT4G03140	4	1392121	1393842	+	1722	30
gene:AT4G03150	4	1393614	1394583	-	970	34
gene:AT4G03153	4	1394845	1395588	-	744	0
gene:AT4G03156	4	1396002	1396784	-	783	0
gene:AT4G03157	4	1396953	1397351	-	399	0
gene:AT4G03160	4	1397979	1398685	+	707	0
gene:AT4G03165	4	1399378	1400291	-	914	0
gene:AT4G03170	4	1400832	1401584	+	753	0
gene:AT4G03175	4	1402088	1402869	-	782	0
gene:AT4G03180	4	1403117	1404937	+	1821	137
gene:AT4G03190	4	1404887	1407402	-	2516	103
gene:AT4G03200	4	1408159	1412756	+	4598	196
gene:AT4G03205	4	1412785	1414902	+	2118	156
gene:AT4G03210	4	1415617	1417444	+	1828	757
gene:AT4G03220	4	1417472	1419148	+	1677	8
gene:AT4G03230	4	1418841	1423337	-	4497	348
gene:AT4G03240	4	1423238	1424772	-	1535	85
gene:AT4G03250	4	1424902	1428062	+	3161	45
gene:AT4G03260	4	1428102	1432690	+	4589	524
gene:AT4G03270	4	1431844	1433861	-	2018	80
gene:AT4G03280	4	1440146	1441863	+	1718	583
gene:AT4G03290	4	1442546	1443638	+	1093	0
gene:AT4G03292	4	1444469	1445220	-	752	16
gene:AT4G03298	4	1446664	1447718	+	1055	0
gene:AT4G03320	4	1464467	1466174	+	1708	123
gene:AT4G03330	4	1466284	1467750	+	1467	3
gene:AT4G03340	4	1467727	1470080	-	2354	24
gene:AT4G03350	4	1473718	1474509	-	792	0
gene:AT4G03360	4	1474869	1475968	-	1100	0
gene:AT4G03370	4	1478078	1478965	-	888	0
gene:AT4G03380	4	1485049	1490228	-	5180	5
